model1	model2	geneconfig	chrom	model1_start	model1_stop	model1_strand	model2_start	model2_end	model2_strand	ds	dn	dsdn
CC1G_11359	CC1G_11360	HeadtoTail	Ccin_Chr_11	219002	219863	-	220180	221248	-	NA	0.20	NA
CC1G_06511	CC1G_06512	HeadtoTail	Ccin_Chr_12	1424653	1425922	+	1426808	1428153	+	2.50	0.17	14.67
CC1G_09156	CC1G_09157	HeadtoTail	Ccin_Chr_2	2793802	2795259	-	2795557	2798109	-	NA	0.92	NA
CC1G_12150	CC1G_12151	HeadtoTail	Ccin_Chr_5	3294874	3297834	-	3298967	3301565	-	0.21	0.11	1.96
CC1G_15658	CC1G_09580	HeadtoTail	Ccin_Chr_11	409421	409714	-	410292	412450	-	1.39	0.25	5.53
CC1G_14007	CC1G_14008	TailtoTail	Ccin_Chr_2	3085432	3085518	-	3086272	3086358	+	-0.00	-0.00	NA
CC1G_12445	CC1G_12446	HeadtoTail	Ccin_Chr_8	2017764	2018171	+	2018705	2020244	+	NA	0.96	NA
CC1G_02111	CC1G_02112	HeadtoTail	Ccin_Chr_10	1674791	1676230	+	1676494	1677870	+	1.70	0.50	3.43
CC1G_02110	CC1G_02111	TailtoTail	Ccin_Chr_10	1672587	1674149	-	1674791	1676230	+	3.25	1.05	3.11
CC1G_10530	CC1G_10531	HeadtoTail	Ccin_Chr_1	1497568	1499303	-	1499962	1501757	-	NA	1.48	NA
CC1G_02175	CC1G_02176	HeadtoTail	Ccin_Chr_10	1844776	1845731	-	1846653	1848519	-	3.85	0.55	6.99
CC1G_11721	CC1G_11722	HeadtoTail	Ccin_Chr_10	1529620	1531173	-	1531886	1534171	-	1.11	0.37	3.03
CC1G_11730	CC1G_11731	HeadtoTail	Ccin_Chr_10	1555441	1557355	+	1558204	1559736	+	2.44	1.01	2.43
CC1G_09060	CC1G_09061	HeadtoTail	Ccin_Chr_4	639751	641836	+	642140	644089	+	NA	0.31	NA
CC1G_12620	CC1G_12621	HeadtoTail	Ccin_Chr_11	72807	73717	-	74180	75098	-	NA	1.18	NA
CC1G_10671	CC1G_10672	HeadtoTail	Ccin_Chr_2	319388	320199	-	320826	321461	-	NA	0.91	NA
CC1G_01699	CC1G_01700	HeadtoTail	Ccin_Chr_1	2324646	2326956	-	2327524	2334227	-	NA	1.29	NA
CC1G_14068	CC1G_14069	HeadtoTail	Ccin_Chr_3	194224	194608	+	194795	196722	+	2.00	0.93	2.15
CC1G_13942	CC1G_13943	HeadtoTail	Ccin_Chr_2	1899639	1900375	+	1900513	1903288	+	NA	0.96	NA
CC1G_14311	CC1G_02563	HeadtoTail	Ccin_Chr_4	98468	100417	-	100737	102647	-	NA	0.23	NA
CC1G_06843	CC1G_06844	HeadtoTail	Ccin_Chr_3	2331371	2332821	+	2333252	2334687	+	1.57	0.08	18.99
CC1G_06959	CC1G_06960	HeadtoTail	Ccin_Chr_6	693544	694997	-	697255	698608	-	NA	0.27	NA
CC1G_07142	CC1G_07143	HeadtoTail	Ccin_Chr_8	967270	968172	+	968870	969924	+	4.23	0.23	18.25
CC1G_08914	CC1G_08913	HeadtoTail	Ccin_Chr_5	83711	85260	+	86628	88172	+	NA	0.39	NA
CC1G_14766	CC1G_14767	HeadtoTail	Ccin_Chr_7	370710	371966	-	372802	375602	-	NA	1.20	NA
CC1G_08915	CC1G_08914	HeadtoTail	Ccin_Chr_5	79993	81532	+	83711	85260	+	2.31	0.51	4.51
CC1G_14024	CC1G_12862	HeadtoTail	Ccin_Chr_2	3339169	3340025	+	3340322	3340945	+	NA	1.40	NA
CC1G_15114	CC1G_15115	HeadtoTail	Ccin_Chr_9	221462	222333	-	222399	223266	-	NA	1.27	NA
CC1G_15419	CC1G_15420	HeadtoTail	Ccin_Chr_12	1033308	1034169	-	1034238	1035095	-	NA	1.59	NA
CC1G_05059	CC1G_05060	HeadtoTail	Ccin_Chr_8	1957714	1958466	+	1960213	1961105	+	3.12	0.89	3.51
CC1G_14026	CC1G_14027	HeadtoTail	Ccin_Chr_2	3358537	3358884	-	3359285	3360020	-	1.92	1.00	1.93
CC1G_11424	CC1G_11425	HeadtoTail	Ccin_Chr_1	4111278	4112804	-	4113425	4114892	-	0.59	0.31	1.93
CC1G_06808	CC1G_06809	HeadtoTail	Ccin_Chr_1	1864836	1865991	+	1866465	1868241	+	2.13	0.76	2.81
CC1G_10744	CC1G_14341	HeadtoTail	Ccin_Chr_4	807887	808865	-	809088	809487	-	NA	1.00	NA
CC1G_07626	CC1G_07627	HeadtoTail	Ccin_Chr_9	1366679	1368427	-	1369387	1371169	-	0.52	0.09	6.11
CC1G_07267	CC1G_07265	TailtoTail	Ccin_Chr_6	1841567	1842295	-	1843567	1843785	+	1.60	0.62	2.58
CC1G_14320	CC1G_14321	HeadtoTail	Ccin_Chr_4	347659	348594	-	348827	350570	-	3.25	1.54	2.11
CC1G_03520	CC1G_03521	HeadtoTail	Ccin_Chr_9	1728448	1730670	-	1731566	1733743	-	1.68	0.22	7.61
CC1G_05900	CC1G_05901	HeadtoTail	Ccin_Chr_7	2598061	2600059	-	2600354	2601283	-	2.34	0.79	2.95
CC1G_00856	CC1G_00857	HeadtoTail	Ccin_Chr_7	1256248	1258629	-	1258858	1263156	-	NA	1.19	NA
CC1G_03309	CC1G_03310	HeadtoHead	Ccin_Chr_3	2830508	2832230	+	2832537	2834375	-	NA	1.00	NA
CC1G_02240	CC1G_02241	HeadtoTail	Ccin_Chr_10	2012483	2014854	+	2015683	2019245	+	2.31	1.78	1.29
CC1G_14543	CC1G_14544	HeadtoTail	Ccin_Chr_5	314906	317147	-	317550	318336	-	2.44	1.25	1.96
CC1G_13251	CC1G_13252	HeadtoTail	Ccin_U361	3814	4848	+	4912	5502	+	1.56	1.25	1.25
CC1G_02589	CC1G_02590	TailtoTail	Ccin_Chr_4	165210	166934	-	167895	169666	+	NA	0.60	NA
CC1G_07715	CC1G_07716	HeadtoTail	Ccin_Chr_9	1249109	1251012	-	1251422	1253602	-	2.65	0.72	3.67
CC1G_14115	CC1G_14116	HeadtoTail	Ccin_Chr_3	696882	699287	+	699539	701870	+	2.32	0.64	3.65
CC1G_04896	CC1G_04897	HeadtoTail	Ccin_Chr_2	3567866	3568597	-	3569783	3570506	-	NA	0.83	NA
CC1G_02367	CC1G_02368	HeadtoTail	Ccin_Chr_3	3253212	3254293	+	3255193	3256424	+	2.07	0.52	4.01
CC1G_10128	CC1G_10129	HeadtoTail	Ccin_Chr_1	3873891	3875415	-	3875922	3877035	-	3.06	1.35	2.26
CC1G_07227	CC1G_07226	HeadtoTail	Ccin_Chr_6	1935829	1937230	-	1937837	1939148	-	1.15	0.27	4.32
CC1G_09241	CC1G_09240	HeadtoTail	Ccin_Chr_11	1704102	1705704	-	1707103	1708566	-	1.33	0.28	4.81
CC1G_09240	CC1G_09238	HeadtoTail	Ccin_Chr_11	1707103	1708566	-	1709755	1711211	-	1.46	0.24	6.04
CC1G_09238	CC1G_09237	TailtoTail	Ccin_Chr_11	1709755	1711211	-	1712442	1713975	+	1.67	0.25	6.80
CC1G_09092	CC1G_09093	HeadtoTail	Ccin_Chr_4	727574	728651	+	729036	730363	+	2.35	0.39	6.01
CC1G_08222	CC1G_08221	TailtoTail	Ccin_Chr_5	550232	551326	-	552479	553324	+	NA	0.44	NA
CC1G_09607	CC1G_09608	HeadtoTail	Ccin_Chr_3	48632	50216	+	51006	52508	+	NA	0.56	NA
CC1G_14280	CC1G_02352	HeadtoTail	Ccin_Chr_3	3195125	3195694	-	3196069	3196662	-	NA	1.43	NA
CC1G_04475	CC1G_04476	HeadtoTail	Ccin_Chr_3	924423	926043	-	926405	928024	-	3.06	0.69	4.43
CC1G_14126	CC1G_04475	HeadtoTail	Ccin_Chr_3	922339	924198	-	924423	926043	-	2.98	0.90	3.32
CC1G_05747	CC1G_05748	HeadtoTail	Ccin_Chr_7	2248928	2249602	+	2250025	2250888	+	4.07	1.63	2.51
CC1G_13317	CC1G_12707	HeadtoHead	Ccin_Chr_6	56037	58664	+	69900	71418	-	NA	0.98	NA
CC1G_05856	CC1G_05857	HeadtoTail	Ccin_Chr_12	353510	354957	+	357164	358614	+	0.85	0.12	7.18
CC1G_11689	CC1G_11690	HeadtoTail	Ccin_Chr_8	1135861	1137535	+	1138051	1140141	+	NA	0.60	NA
CC1G_12035	CC1G_12036	HeadtoTail	Ccin_Chr_11	26568	27675	+	29135	30391	+	1.58	1.40	1.13
CC1G_08117	CC1G_08118	HeadtoTail	Ccin_Chr_4	3190224	3191400	-	3191744	3192676	-	1.37	1.38	0.99
CC1G_05298	CC1G_05299	HeadtoTail	Ccin_Chr_11	983287	983890	-	984978	985676	-	2.02	0.28	7.21
CC1G_05018	CC1G_05019	HeadtoTail	Ccin_Chr_8	1817655	1820421	-	1821237	1824650	-	NA	0.59	NA
CC1G_05609	CC1G_05610	HeadtoTail	Ccin_Chr_13	169057	170340	-	171255	172488	-	4.08	1.50	2.72
CC1G_10761	CC1G_10762	HeadtoTail	Ccin_Chr_4	843496	843888	+	845019	845532	+	NA	0.57	NA
CC1G_10760	CC1G_10761	HeadtoTail	Ccin_Chr_4	841647	842159	+	843496	843888	+	1.62	0.53	3.05
CC1G_14956	CC1G_08027	HeadtoTail	Ccin_Chr_8	445193	447499	-	448373	450936	-	NA	0.32	NA
CC1G_14483	CC1G_14484	TailtoTail	Ccin_Chr_4	3050013	3050126	-	3051153	3051266	+	0.48	0.04	13.09
CC1G_08063	CC1G_14479	HeadtoTail	Ccin_Chr_4	3035385	3036243	-	3036864	3036977	-	0.48	0.02	19.80
CC1G_14480	CC1G_14481	TailtoTail	Ccin_Chr_4	3038308	3038427	-	3039450	3039563	+	0.25	0.01	20.78
CC1G_14479	CC1G_14480	HeadtoTail	Ccin_Chr_4	3036864	3036977	-	3038308	3038427	-	0.36	-0.00	NA
CC1G_15227	CC1G_15228	HeadtoTail	Ccin_Chr_9	2402122	2402804	-	2403230	2403845	-	3.08	1.83	1.69
CC1G_08725	CC1G_08726	HeadtoTail	Ccin_Chr_10	912603	915259	-	916191	919024	-	NA	0.27	NA
CC1G_09260	CC1G_09261	HeadtoTail	Ccin_Chr_3	3503409	3505379	-	3505741	3506578	-	0.62	0.18	3.41
CC1G_08761	CC1G_08762	HeadtoTail	Ccin_Chr_10	1001856	1004549	-	1005716	1008358	-	NA	0.28	NA
CC1G_08265	CC1G_08266	HeadtoTail	Ccin_Chr_2	27964	28625	+	30177	30714	+	1.10	0.59	1.87
CC1G_08262	CC1G_08264	TailtoTail	Ccin_Chr_2	24244	25352	-	26242	27014	+	1.09	0.50	2.19
CC1G_08264	CC1G_08265	HeadtoTail	Ccin_Chr_2	26242	27014	+	27964	28625	+	1.14	0.34	3.35
CC1G_08272	CC1G_08273	HeadtoTail	Ccin_Chr_2	41909	42695	+	43686	44598	+	2.09	0.64	3.28
CC1G_14928	CC1G_14929	HeadtoTail	Ccin_Chr_8	9315	11681	-	11764	12087	-	NA	0.73	NA
CC1G_08706	CC1G_08707	HeadtoTail	Ccin_Chr_6	531765	532314	-	532842	534815	-	3.79	1.06	3.56
CC1G_01482	CC1G_01483	HeadtoTail	Ccin_Chr_10	82916	84572	+	85342	86898	+	2.03	0.45	4.52
CC1G_07205	CC1G_07204	HeadtoTail	Ccin_Chr_6	2014002	2014945	-	2015621	2016972	-	1.77	0.48	3.71
CC1G_07204	CC1G_07203	HeadtoTail	Ccin_Chr_6	2015621	2016972	-	2017595	2019185	-	2.84	0.35	8.08
CC1G_08268	CC1G_08269	HeadtoTail	Ccin_Chr_2	33589	34897	-	35535	36434	-	1.40	0.38	3.67
CC1G_04152	CC1G_04153	HeadtoHead	Ccin_Chr_4	3488021	3489174	+	3489378	3490334	-	NA	0.87	NA
CC1G_02519	CC1G_02520	HeadtoHead	Ccin_Chr_9	1033584	1035417	+	1035886	1037237	-	2.06	0.93	2.21
CC1G_07460	CC1G_07461	TailtoTail	Ccin_Chr_9	520110	522677	-	523130	523810	+	1.75	1.10	1.59
CC1G_00609	CC1G_13750	HeadtoTail	Ccin_Chr_1	3366583	3367464	-	3367293	3368201	-	NA	0.39	NA
CC1G_02536	CC1G_02537	HeadtoTail	Ccin_Chr_9	1081220	1083296	+	1083706	1085841	+	1.61	0.17	9.54
CC1G_15597	CC1G_15598	HeadtoTail	Ccin_Chr_6	1496717	1497463	+	1497495	1498367	+	1.95	1.39	1.40
CC1G_07541	CC1G_15597	HeadtoTail	Ccin_Chr_6	1494790	1496553	+	1496717	1497463	+	1.32	0.51	2.59
CC1G_03399	CC1G_03400	HeadtoTail	Ccin_Chr_8	728762	730208	+	732006	733566	+	3.10	0.29	10.50
CC1G_15035	CC1G_15036	HeadtoTail	Ccin_Chr_8	1671897	1672516	-	1672651	1674071	-	NA	1.48	NA
CC1G_00980	CC1G_00981	HeadtoTail	Ccin_Chr_7	1602242	1604047	-	1604556	1605617	-	NA	0.99	NA
CC1G_01004	CC1G_08987	HeadtoTail	Ccin_Chr_7	1645915	1648088	-	1648804	1651172	-	2.11	1.58	1.34
CC1G_11369	CC1G_11371	TailtoTail	Ccin_Chr_11	238752	240533	-	242161	243885	+	NA	0.42	NA
CC1G_03536	CC1G_03537	HeadtoTail	Ccin_Chr_9	1767246	1770544	+	1771280	1772540	+	0.92	0.38	2.43
CC1G_09893	CC1G_09894	HeadtoTail	Ccin_Chr_7	882408	883951	+	884655	886370	+	2.67	0.99	2.70
CC1G_10569	CC1G_10570	HeadtoTail	Ccin_Chr_2	557454	559218	-	560122	561732	-	0.91	0.32	2.83
CC1G_13843	CC1G_13844	HeadtoTail	Ccin_Chr_2	551867	553587	-	553924	555506	-	3.57	0.79	4.52
CC1G_11788	CC1G_11789	TailtoTail	Ccin_Chr_12	2087750	2089537	-	2090397	2091732	+	NA	0.73	NA
CC1G_13448	CC1G_13449	HeadtoTail	Ccin_U408	183	1623	+	3438	4076	+	0.28	0.06	4.42
CC1G_10566	CC1G_13842	HeadtoTail	Ccin_Chr_2	548504	550163	-	550775	551701	-	3.49	1.02	3.43
CC1G_13842	CC1G_13843	HeadtoTail	Ccin_Chr_2	550775	551701	-	551867	553587	-	NA	0.87	NA
CC1G_08293	CC1G_13818	HeadtoTail	Ccin_Chr_2	111620	113815	-	114324	117628	-	3.46	0.60	5.74
CC1G_14407	CC1G_14408	HeadtoTail	Ccin_Chr_4	1900429	1900884	+	1900942	1901440	+	NA	2.07	NA
CC1G_14410	CC1G_14411	HeadtoTail	Ccin_Chr_4	1918369	1920559	+	1920838	1923260	+	NA	0.92	NA
CC1G_06351	CC1G_14407	HeadtoTail	Ccin_Chr_4	1891240	1891976	+	1900429	1900884	+	NA	1.32	NA
CC1G_08683	CC1G_08684	TailtoTail	Ccin_Chr_6	465471	466197	-	467807	468513	+	0.81	0.21	3.89
CC1G_09993	CC1G_09994	HeadtoTail	Ccin_Chr_9	2418628	2419290	-	2420185	2421036	-	NA	1.07	NA
CC1G_09990	CC1G_09991	HeadtoTail	Ccin_Chr_9	2413094	2413968	-	2414774	2415489	-	1.54	0.33	4.72
CC1G_01479	CC1G_01480	HeadtoTail	Ccin_Chr_10	75005	75850	-	76320	78421	-	0.57	0.14	4.03
CC1G_09986	CC1G_09987	TailtoTail	Ccin_Chr_9	2407553	2408403	-	2410336	2411053	+	1.06	0.30	3.58
CC1G_09991	CC1G_09992	TailtoTail	Ccin_Chr_9	2414774	2415489	-	2417217	2417993	+	4.23	0.73	5.81
CC1G_09994	CC1G_09996	TailtoTail	Ccin_Chr_9	2420185	2421036	-	2421923	2422710	+	NA	1.16	NA
CC1G_09981	CC1G_09982	TailtoTail	Ccin_Chr_9	2395740	2396523	-	2398010	2398582	+	0.93	0.25	3.66
CC1G_11911	CC1G_11912	HeadtoTail	Ccin_Chr_9	2346879	2347488	+	2348673	2349305	+	NA	0.65	NA
CC1G_09982	CC1G_09983	HeadtoTail	Ccin_Chr_9	2398010	2398582	+	2399779	2400377	+	2.93	0.60	4.89
CC1G_13434	CC1G_13219	HeadtoTail	Ccin_Chr_1	1128515	1129912	-	1131369	1132536	-	2.25	0.36	6.17
CC1G_13195	CC1G_13434	HeadtoTail	Ccin_Chr_1	1124488	1125581	-	1128515	1129912	-	1.02	0.21	4.77
CC1G_04336	CC1G_04337	HeadtoTail	Ccin_Chr_1	662777	663689	-	665330	666338	-	1.69	0.76	2.24
CC1G_09778	CC1G_09777	HeadtoHead	Ccin_Chr_7	225400	226563	+	226796	227853	-	NA	0.94	NA
CC1G_13802	CC1G_08812	HeadtoTail	Ccin_Chr_1	4032916	4033256	-	4034678	4035363	-	NA	1.18	NA
CC1G_13801	CC1G_13802	HeadtoTail	Ccin_Chr_1	4031582	4032649	-	4032916	4033256	-	NA	1.00	NA
CC1G_14940	CC1G_05396	HeadtoTail	Ccin_Chr_8	208493	208933	+	209232	210049	+	2.62	1.39	1.88
CC1G_08785	CC1G_08786	HeadtoTail	Ccin_Chr_1	3955299	3956972	+	3957492	3959164	+	1.06	0.44	2.37
CC1G_08795	CC1G_08796	HeadtoTail	Ccin_Chr_1	3992542	3994237	+	3995004	3996736	+	0.55	0.23	2.34
CC1G_05396	CC1G_14941	HeadtoTail	Ccin_Chr_8	209232	210049	+	210470	212231	+	0.92	0.43	2.16
CC1G_13796	CC1G_13797	HeadtoTail	Ccin_Chr_1	3972899	3976868	+	3977147	3979142	+	1.01	0.42	2.40
CC1G_10811	CC1G_10812	HeadtoTail	Ccin_Chr_2	2663341	2664759	-	2665389	2667111	-	1.86	0.78	2.37
CC1G_14446	CC1G_14447	HeadtoTail	Ccin_Chr_4	2584764	2585649	+	2585960	2586373	+	2.16	1.42	1.52
CC1G_10848	CC1G_10849	HeadtoTail	Ccin_Chr_10	2097870	2099405	+	2100286	2101599	+	3.36	0.49	6.80
CC1G_15052	CC1G_15053	HeadtoTail	Ccin_Chr_8	1878173	1879592	+	1879827	1882011	+	NA	1.36	NA
CC1G_13782	CC1G_13783	HeadtoTail	Ccin_Chr_1	3778893	3779927	+	3780123	3783448	+	2.42	1.14	2.12
CC1G_15574	CC1G_15575	HeadtoTail	Ccin_Chr_6	1017378	1020350	-	1020643	1022244	-	NA	1.42	NA
CC1G_15053	CC1G_05035	HeadtoTail	Ccin_Chr_8	1879827	1882011	+	1882880	1886392	+	NA	0.71	NA
CC1G_09049	CC1G_09050	HeadtoTail	Ccin_Chr_4	613989	614395	-	616043	616824	-	1.77	1.76	1.00
CC1G_14044	CC1G_14045	HeadtoTail	Ccin_Chr_2	3668080	3669361	+	3669458	3670345	+	1.75	1.35	1.30
CC1G_03182	CC1G_03183	HeadtoTail	Ccin_Chr_8	2487367	2489622	+	2490030	2492192	+	2.08	0.76	2.75
CC1G_09072	CC1G_09073	HeadtoHead	Ccin_Chr_4	672368	674362	+	676717	679017	-	NA	1.09	NA
CC1G_15339	CC1G_02137	TailtoTail	Ccin_Chr_10	1732234	1733640	-	1734780	1736527	+	NA	0.97	NA
CC1G_08968	CC1G_08967	HeadtoTail	Ccin_Chr_11	1866143	1868405	+	1868749	1871101	+	1.63	1.59	1.02
CC1G_11687	CC1G_11688	TailtoTail	Ccin_Chr_8	1130296	1132549	-	1133018	1134832	+	2.00	0.72	2.78
CC1G_06563	CC1G_06564	HeadtoTail	Ccin_Chr_1	2836994	2838624	-	2839061	2840817	-	NA	0.24	NA
CC1G_04604	CC1G_04605	HeadtoTail	Ccin_Chr_3	578040	581219	+	582911	587116	+	NA	0.42	NA
CC1G_09677	CC1G_09678	HeadtoTail	Ccin_Chr_11	545654	546481	+	546805	547611	+	NA	0.99	NA
CC1G_09678	CC1G_09679	HeadtoHead	Ccin_Chr_11	546805	547611	+	549052	550242	-	NA	1.56	NA
CC1G_12752	CC1G_12756	HeadtoTail	Ccin_Chr_4	558517	559716	+	565998	567882	+	NA	1.52	NA
CC1G_01621	CC1G_01622	HeadtoTail	Ccin_Chr_10	509786	512120	-	514086	516310	-	NA	0.41	NA
CC1G_01620	CC1G_01621	HeadtoTail	Ccin_Chr_10	506614	508764	-	509786	512120	-	NA	0.30	NA
CC1G_01619	CC1G_01620	HeadtoTail	Ccin_Chr_10	503601	505762	-	506614	508764	-	NA	0.34	NA
CC1G_01582	CC1G_01583	HeadtoTail	Ccin_Chr_10	371455	373750	-	374526	376674	-	2.40	0.34	7.12
CC1G_01584	CC1G_01585	HeadtoTail	Ccin_Chr_10	377154	379315	-	380035	382265	-	NA	0.43	NA
CC1G_15459	CC1G_15460	HeadtoTail	Ccin_Chr_12	1745211	1747560	-	1748376	1750048	-	NA	1.43	NA
CC1G_09541	CC1G_13301	HeadtoTail	Ccin_Chr_6	1316876	1320425	-	1320903	1322917	-	NA	1.26	NA
CC1G_07560	CC1G_14440	HeadtoTail	Ccin_Chr_4	2481167	2481985	-	2483599	2484137	-	2.83	1.38	2.05
CC1G_04664	CC1G_04665	HeadtoTail	Ccin_Chr_3	749438	750385	+	750428	751429	+	NA	0.62	NA
CC1G_04676	CC1G_04677	HeadtoTail	Ccin_Chr_3	774643	775566	-	776429	777748	-	NA	0.99	NA
CC1G_11274	CC1G_11273	HeadtoTail	Ccin_Chr_6	1568930	1570466	+	1570783	1572896	+	3.30	0.64	5.20
CC1G_10620	CC1G_10621	TailtoTail	Ccin_Chr_11	155887	157569	-	160382	161853	+	1.77	0.49	3.62
CC1G_05793	CC1G_05794	HeadtoTail	Ccin_Chr_12	182633	183961	+	186178	187737	+	3.05	0.28	10.98
CC1G_08038	CC1G_08039	HeadtoTail	Ccin_Chr_8	482625	484963	+	485496	487799	+	1.37	0.14	10.09
CC1G_11887	CC1G_11888	HeadtoTail	Ccin_Chr_4	954245	955618	+	956489	957749	+	NA	0.32	NA
CC1G_09609	CC1G_09611	HeadtoTail	Ccin_Chr_3	52732	55069	-	56425	58762	-	0.95	0.08	11.45
CC1G_02124	CC1G_02125	HeadtoTail	Ccin_Chr_10	1708100	1709485	+	1711140	1713302	+	3.33	0.47	7.12
CC1G_10682	CC1G_10683	HeadtoHead	Ccin_Chr_2	345591	349236	+	349734	352516	-	NA	0.70	NA
CC1G_12717	CC1G_14352	HeadtoTail	Ccin_Chr_4	1047255	1048021	+	1048263	1049082	+	2.18	1.82	1.20
CC1G_14732	CC1G_14733	HeadtoTail	Ccin_Chr_5	3237768	3239298	-	3239403	3241494	-	3.42	1.33	2.57
CC1G_13291	CC1G_13550	HeadtoTail	Ccin_Chr_1	49313	51852	+	51887	53757	+	3.50	1.40	2.49
CC1G_12721	CC1G_13031	HeadtoTail	Ccin_Chr_4	1054876	1055755	+	1056419	1059617	+	0.31	0.19	1.65
CC1G_03614	CC1G_03615	HeadtoTail	Ccin_Chr_9	1967395	1970320	+	1971150	1973490	+	1.14	0.27	4.22
CC1G_03566	CC1G_03567	HeadtoTail	Ccin_Chr_9	1845279	1847083	+	1847183	1848331	+	2.83	0.77	3.68
CC1G_15223	CC1G_15224	HeadtoTail	Ccin_Chr_9	2344234	2344770	+	2345072	2346078	+	3.03	1.02	2.97
CC1G_03172	CC1G_03173	HeadtoTail	Ccin_Chr_8	2457912	2459388	-	2460794	2462229	-	2.32	0.08	29.14
CC1G_15756	CC1G_15757	HeadtoTail	Ccin_Chr_13	20227	20498	+	20543	21994	+	2.61	0.87	2.98
CC1G_11718	CC1G_11719	HeadtoTail	Ccin_Chr_10	1524328	1526185	+	1526854	1527140	+	NA	0.70	NA
CC1G_14741	CC1G_12250	HeadtoTail	Ccin_Chr_5	3422628	3424414	-	3425519	3427136	-	2.15	0.13	16.86
CC1G_12409	CC1G_12410	HeadtoTail	Ccin_Chr_4	2182825	2184265	+	2186082	2187520	+	0.33	0.05	6.59
CC1G_09980	CC1G_09981	HeadtoHead	Ccin_Chr_9	2394346	2395237	+	2395740	2396523	-	2.01	0.54	3.74
CC1G_09979	CC1G_09980	HeadtoTail	Ccin_Chr_9	2391789	2392550	+	2394346	2395237	+	2.44	0.45	5.46
CC1G_14064	CC1G_05959	HeadtoTail	Ccin_Chr_3	125265	126940	+	128820	130058	+	1.43	0.04	32.33
CC1G_10021	CC1G_10022	HeadtoTail	Ccin_Chr_9	2475820	2476692	+	2477070	2477657	+	2.00	1.46	1.37
CC1G_08812	CC1G_08813	HeadtoTail	Ccin_Chr_1	4034678	4035363	-	4036998	4038071	-	0.65	0.15	4.30
CC1G_04169	CC1G_04170	HeadtoTail	Ccin_Chr_4	3534264	3536146	+	3538428	3540228	+	0.73	0.08	8.57
CC1G_14706	CC1G_13378	HeadtoTail	Ccin_Chr_5	2731221	2732610	+	2739150	2740228	+	NA	1.54	NA
CC1G_02472	CC1G_02478	HeadtoTail	Ccin_Chr_9	911111	912145	+	919313	919645	+	NA	1.43	NA
CC1G_10809	CC1G_10810	HeadtoTail	Ccin_Chr_2	2658206	2659506	-	2661137	2662264	-	1.59	0.54	2.94
CC1G_05727	CC1G_05728	HeadtoTail	Ccin_Chr_7	2197750	2200033	-	2201034	2203401	-	NA	0.25	NA
CC1G_04585	CC1G_04586	HeadtoTail	Ccin_Chr_3	514385	516770	+	517270	519949	+	NA	0.50	NA
CC1G_02824	CC1G_02825	HeadtoTail	Ccin_Chr_1	323635	324865	+	325710	326852	+	1.45	0.33	4.35
CC1G_15350	CC1G_15351	HeadtoTail	Ccin_Chr_10	1952471	1953590	-	1954227	1955279	-	1.92	0.22	8.69
CC1G_13777	CC1G_13778	HeadtoTail	Ccin_Chr_1	3742934	3743809	-	3744160	3745322	-	NA	1.51	NA
CC1G_11779	CC1G_11780	HeadtoTail	Ccin_Chr_12	2070412	2071632	+	2072137	2072514	+	NA	1.29	NA
CC1G_09064	CC1G_09065	HeadtoHead	Ccin_Chr_4	651908	653944	+	654227	656381	-	2.14	1.08	1.97
CC1G_03525	CC1G_03526	HeadtoTail	Ccin_Chr_9	1742033	1743236	+	1744249	1745632	+	0.91	0.22	4.16
CC1G_07479	CC1G_07480	TailtoTail	Ccin_Chr_9	577797	578841	-	579940	581263	+	1.55	1.00	1.56
CC1G_04848	CC1G_04849	HeadtoTail	Ccin_Chr_2	3457220	3458365	-	3459664	3460751	-	1.16	0.09	13.28
CC1G_02194	CC1G_02195	HeadtoTail	Ccin_Chr_10	1894720	1896030	-	1896865	1898123	-	1.56	0.35	4.47
CC1G_02626	CC1G_02627	HeadtoTail	Ccin_Chr_4	264613	266457	+	268412	270250	+	NA	0.76	NA
CC1G_04751	CC1G_04752	HeadtoTail	Ccin_Chr_13	680587	682650	+	683010	685058	+	1.43	0.47	3.01
CC1G_12139	CC1G_12140	HeadtoTail	Ccin_Chr_5	3271215	3272649	-	3273210	3274946	-	NA	1.14	NA
CC1G_04659	CC1G_04660	HeadtoTail	Ccin_Chr_3	740891	742032	+	742836	743798	+	NA	0.81	NA
CC1G_08314	CC1G_13820	HeadtoTail	Ccin_Chr_2	162972	163372	-	164065	164781	-	1.82	1.21	1.51
CC1G_10188	CC1G_10189	HeadtoTail	Ccin_Chr_2	222661	223064	-	223891	224578	-	0.59	0.15	3.90
CC1G_02184	CC1G_02185	HeadtoTail	Ccin_Chr_10	1867603	1868334	+	1869091	1869530	+	0.87	0.28	3.11
CC1G_09249	CC1G_09248	TailtoTail	Ccin_Chr_11	1680105	1681308	-	1683067	1684254	+	0.32	0.07	4.53
CC1G_15188	CC1G_07660	HeadtoTail	Ccin_Chr_9	1463545	1464667	-	1465165	1466304	-	NA	0.84	NA
CC1G_15369	CC1G_10483	HeadtoTail	Ccin_Chr_12	62384	63668	-	64339	65428	-	2.47	0.81	3.06
CC1G_05772	CC1G_05773	TailtoTail	Ccin_Chr_12	127724	128288	-	129681	130963	+	NA	1.03	NA
CC1G_05959	CC1G_05960	HeadtoTail	Ccin_Chr_3	128820	130058	+	131637	133017	+	1.82	0.05	35.07
