model,Count,dS,dN,scaffold,start_position
CC1G_06500,3,2.03,0.49,Chr_12,1396078
CC1G_06510,2,2.18,0.47,Chr_12,1419616
CC1G_06511,2,1.89,0.43,Chr_12,1424653
CC1G_06517,5,2.18,0.79,Chr_12,1445665
CC1G_06519,4,2.16,0.93,Chr_12,1451367
CC1G_15443,5,1.78,0.76,Chr_12,1455806
CC1G_06525,5,1.87,0.9,Chr_12,1465605
CC1G_06526,5,2.1,0.83,Chr_12,1469335
CC1G_06528,3,2.25,1.02,Chr_12,1476895
CC1G_07292,1,1.93,0.59,Chr_12,1563207
CC1G_07297,3,2.27,0.82,Chr_12,1576228
CC1G_07302,4,1.82,0.67,Chr_12,1593167
CC1G_07306,4,1.81,0.79,Chr_12,1601015
CC1G_07307,3,2.22,0.98,Chr_12,1603639
CC1G_07309,4,1.87,0.87,Chr_12,1606699
CC1G_07314,4,2.51,0.77,Chr_12,1629936
CC1G_07315,3,2.42,0.9,Chr_12,1634454
CC1G_07317,4,3.02,0.98,Chr_12,1640097
CC1G_07319,6,2.26,0.73,Chr_12,1645928
CC1G_07327,5,2.45,0.69,Chr_12,1664715
CC1G_07328,4,3.18,0.86,Chr_12,1667948
CC1G_07329,5,2.73,0.89,Chr_12,1670202
CC1G_07333,5,2.31,0.79,Chr_12,1685555
CC1G_07335,3,2.92,0.78,Chr_12,1694161
CC1G_07338,4,2.26,0.86,Chr_12,1700603
CC1G_07746,5,2.62,0.64,Chr_12,1720056
CC1G_07747,7,1.83,0.47,Chr_12,1723510
CC1G_07750,6,1.94,0.53,Chr_12,1729931
CC1G_07751,6,1.56,0.42,Chr_12,1732519
CC1G_15457,6,1.12,0.36,Chr_12,1735548
CC1G_15459,6,2.11,0.54,Chr_12,1745214
CC1G_15460,6,2.11,0.54,Chr_12,1748379
CC1G_07764,6,1.6,0.74,Chr_12,1765361
CC1G_07768,6,2.74,1.07,Chr_12,1776714
CC1G_07769,6,2.69,1,Chr_12,1780699
CC1G_07770,6,2.48,0.96,Chr_12,1783479
CC1G_07772,7,2.58,1.03,Chr_12,1787402
CC1G_15463,7,2.64,1.1,Chr_12,1792534
CC1G_07775,7,2.4,1.06,Chr_12,1798826
CC1G_07778,5,2.86,0.99,Chr_12,1809243
CC1G_07780,5,2.45,0.97,Chr_12,1816013
CC1G_07786,4,2.25,0.95,Chr_12,1833127
CC1G_15466,4,2.63,0.92,Chr_12,1836829
CC1G_07797,7,2.15,0.83,Chr_12,1857286
CC1G_07798,7,2.02,0.71,Chr_12,1861130
CC1G_07799,6,1.88,0.76,Chr_12,1862738
CC1G_07800,6,2.1,0.64,Chr_12,1865266
CC1G_07808,9,2.07,0.64,Chr_12,1879220
CC1G_07809,9,2.25,0.7,Chr_12,1881652
CC1G_07810,8,2.17,0.72,Chr_12,1883249
CC1G_12599,6,2.05,0.65,Chr_12,1896390
CC1G_12600,6,1.56,0.6,Chr_12,1898917
CC1G_12601,6,2.06,0.66,Chr_12,1900589
CC1G_15475,7,1.89,0.5,Chr_12,1913198
CC1G_10211,8,2.24,0.53,Chr_12,1926045
CC1G_15477,8,2.15,0.45,Chr_12,1926826
CC1G_10216,10,2.4,0.64,Chr_12,1934976
CC1G_10217,10,2.38,0.63,Chr_12,1935492
CC1G_10218,10,2.37,0.6,Chr_12,1938363
CC1G_15479,11,2.48,0.66,Chr_12,1945134
CC1G_10221,11,2.48,0.61,Chr_12,1947532
CC1G_15480,11,2.67,0.66,Chr_12,1949219
CC1G_10225,10,2.89,0.67,Chr_12,1957326
CC1G_10226,10,2.69,0.64,Chr_12,1958754
CC1G_10227,9,3.02,0.8,Chr_12,1962681
CC1G_10228,8,2.88,0.82,Chr_12,1965919
CC1G_10233,7,2.71,0.95,Chr_12,1978313
CC1G_10237,6,2.66,0.98,Chr_12,1987598
CC1G_10239,4,2.32,0.98,Chr_12,1991693
CC1G_10241,4,2.55,1.17,Chr_12,1994933
CC1G_10244,4,1.68,0.76,Chr_12,2004158
CC1G_10255,1,2.28,1.16,Chr_12,2027307
CC1G_11770,7,1.69,0.5,Chr_12,2052464
CC1G_11771,7,1.75,0.66,Chr_12,2055334
CC1G_11776,10,1.7,0.61,Chr_12,2064597
CC1G_11777,11,1.81,0.64,Chr_12,2066430
CC1G_11778,11,1.8,0.63,Chr_12,2068687
CC1G_11779,11,1.77,0.59,Chr_12,2070412
CC1G_11780,11,1.82,0.59,Chr_12,2072137
CC1G_11782,12,1.61,0.58,Chr_12,2075862
CC1G_11785,10,1.73,0.55,Chr_12,2082897
CC1G_11787,10,1.66,0.55,Chr_12,2085119
CC1G_11788,10,1.57,0.5,Chr_12,2087753
CC1G_11789,9,1.54,0.52,Chr_12,2090397
CC1G_11792,5,1.98,0.58,Chr_12,2097596
CC1G_05545,7,1.81,0.53,Chr_13,247
CC1G_05546,8,1.92,0.65,Chr_13,6926
CC1G_05547,8,1.94,0.61,Chr_13,7864
CC1G_15754,9,1.67,0.57,Chr_13,12592
CC1G_15755,9,1.7,0.59,Chr_13,13493
CC1G_15756,9,1.77,0.66,Chr_13,20227
CC1G_15757,9,1.78,0.64,Chr_13,20543
CC1G_05556,10,1.77,0.63,Chr_13,22974
CC1G_05559,10,1.67,0.53,Chr_13,30622
CC1G_05561,9,1.75,0.48,Chr_13,36875
CC1G_15759,5,1.31,0.41,Chr_13,46158
CC1G_05566,4,1.37,0.42,Chr_13,55245
CC1G_05567,3,1.34,0.52,Chr_13,57608
CC1G_05582,4,1.25,0.28,Chr_13,91309
CC1G_05584,5,1.51,0.4,Chr_13,95272
CC1G_05588,7,1.5,0.35,Chr_13,112465
CC1G_05589,7,1.51,0.38,Chr_13,113758
CC1G_15764,7,1.29,0.34,Chr_13,115239
CC1G_15765,6,1.44,0.3,Chr_13,116726
CC1G_05591,6,1.62,0.31,Chr_13,120682
CC1G_05592,7,1.67,0.33,Chr_13,123295
CC1G_05599,3,1.94,0.42,Chr_13,141975
CC1G_05601,2,1.78,0.38,Chr_13,145881
CC1G_05610,3,1.96,0.77,Chr_13,171289
CC1G_05616,3,2.21,0.83,Chr_13,183956
CC1G_05620,4,2.3,0.83,Chr_13,193539
CC1G_05621,5,2.28,0.84,Chr_13,196287
CC1G_05628,6,2.03,0.66,Chr_13,218051
CC1G_05629,5,2.17,0.63,Chr_13,220977
CC1G_05632,5,2.09,0.64,Chr_13,226390
CC1G_05635,6,2.28,0.57,Chr_13,240356
CC1G_05636,6,2.26,0.73,Chr_13,242720
CC1G_05638,4,2.15,0.65,Chr_13,246525
CC1G_05643,4,1.87,0.75,Chr_13,256030
CC1G_05651,3,1.66,0.65,Chr_13,277956
CC1G_05654,5,1.65,0.89,Chr_13,290798
CC1G_05656,5,1.8,0.97,Chr_13,296474
CC1G_13095,5,1.72,0.69,Chr_13,304973
CC1G_13098,5,1.63,0.64,Chr_13,312440
CC1G_13099,6,1.84,0.8,Chr_13,315281
CC1G_12233,5,1.56,0.76,Chr_13,327965
CC1G_12236,6,2.1,0.54,Chr_13,338829
CC1G_15774,5,2.29,0.53,Chr_13,347577
CC1G_12242,4,2.16,0.57,Chr_13,353405
CC1G_12244,6,2.22,0.64,Chr_13,357492
CC1G_07937,6,1.51,0.52,Chr_13,360222
CC1G_07945,3,2.63,0.64,Chr_13,380695
CC1G_07946,3,3.05,0.72,Chr_13,381988
CC1G_07954,3,1.41,0.61,Chr_13,408380
CC1G_07956,3,1.85,1.04,Chr_13,414195
CC1G_07957,5,1.54,0.82,Chr_13,417326
CC1G_07960,6,1.83,0.78,Chr_13,430916
CC1G_07963,5,2.2,0.84,Chr_13,441053
CC1G_07964,5,2.26,0.76,Chr_13,442195
CC1G_07967,4,2.11,0.75,Chr_13,453956
CC1G_07968,3,2.22,0.86,Chr_13,457766
CC1G_07975,3,1.13,0.41,Chr_13,483543
CC1G_07980,6,1.7,0.7,Chr_13,493570
CC1G_07981,6,1.56,0.54,Chr_13,495080
CC1G_07983,6,1.64,0.68,Chr_13,499689
CC1G_07988,5,1.4,0.51,Chr_13,509293
CC1G_07989,6,1.48,0.55,Chr_13,512271
CC1G_07990,6,1.64,0.51,Chr_13,515752
CC1G_04698,3,2.13,0.76,Chr_13,536541
CC1G_15784,2,2.55,0.74,Chr_13,553570
CC1G_04712,2,2.62,0.76,Chr_13,578088
CC1G_04714,2,1.8,0.8,Chr_13,591025
CC1G_04723,2,1.8,0.62,Chr_13,609014
CC1G_04729,2,1.46,0.78,Chr_13,626277
CC1G_04734,4,1.96,0.72,Chr_13,638680
CC1G_04740,4,2.96,0.92,Chr_13,651600
CC1G_04742,5,2.17,0.59,Chr_13,657372
CC1G_04743,7,2.73,0.78,Chr_13,661632
CC1G_04749,7,2.12,0.73,Chr_13,674855
CC1G_04751,6,2.79,0.89,Chr_13,680587
CC1G_04752,5,2.42,0.77,Chr_13,683010
CC1G_04753,5,2.17,0.66,Chr_13,686052
CC1G_04754,4,2.92,0.77,Chr_13,688769
CC1G_04763,2,1.82,0.88,Chr_13,722080
CC1G_15794,3,2.64,0.87,Chr_13,733834
CC1G_04770,3,2.28,0.55,Chr_13,743570
CC1G_04771,3,1.9,1,Chr_13,748286
CC1G_04779,4,2.01,1.08,Chr_13,770122
CC1G_04784,5,1.8,0.98,Chr_13,782349
CC1G_04788,5,1.54,0.99,Chr_13,790277
CC1G_04789,5,1.94,0.87,Chr_13,793929
CC1G_04791,5,2.2,1.06,Chr_13,798099
CC1G_04793,5,1.85,0.91,Chr_13,805712
CC1G_04797,4,1.35,0.66,Chr_13,819039
CC1G_04801,4,2.38,0.66,Chr_13,834421
CC1G_04805,5,3.12,1.02,Chr_13,843934
CC1G_04810,6,2.71,0.95,Chr_13,856891
CC1G_04811,6,2.57,0.92,Chr_13,858118
CC1G_04813,6,2.4,0.75,Chr_13,863122
CC1G_04816,5,3.02,0.99,Chr_13,871645
CC1G_04818,5,3.31,0.99,Chr_13,877820
CC1G_13467,4,2.68,0.91,Chr_13,887915
CC1G_12336,3,2.25,0.97,Chr_13,912559
CC1G_15802,2,1.33,0.48,Chr_13,914512
CC1G_12338,2,1.7,0.81,Chr_13,918317
CC1G_12490,1,2.57,0.61,Chr_13,945148
CC1G_15807,1,1.73,0.46,Chr_13,956113
CC1G_13813,9,1,0.29,Chr_2,11276
CC1G_08258,10,1.09,0.39,Chr_2,14145
CC1G_08260,11,1.19,0.41,Chr_2,18468
CC1G_08262,12,1.33,0.47,Chr_2,24247
CC1G_08264,12,1.32,0.48,Chr_2,26242
CC1G_08265,12,1.28,0.46,Chr_2,27964
CC1G_08266,13,1.27,0.42,Chr_2,30177
CC1G_08267,13,1.33,0.46,Chr_2,32513
CC1G_08268,13,1.23,0.44,Chr_2,33592
CC1G_08269,13,1.24,0.44,Chr_2,35538
CC1G_08270,12,1.18,0.36,Chr_2,37474
CC1G_08272,11,1.16,0.38,Chr_2,41909
CC1G_08275,12,1.28,0.48,Chr_2,48588
CC1G_08277,9,1.6,0.65,Chr_2,53188
CC1G_08282,4,2.06,0.92,Chr_2,68949
CC1G_08283,5,1.69,0.73,Chr_2,72436
CC1G_13817,5,1.79,0.84,Chr_2,87758
CC1G_08289,5,2.14,0.98,Chr_2,95561
CC1G_08292,8,1.92,0.72,Chr_2,105953
CC1G_08293,8,1.73,0.69,Chr_2,111623
CC1G_13818,8,1.83,0.7,Chr_2,114327
CC1G_08298,7,2.02,0.77,Chr_2,123034
CC1G_08299,7,1.89,0.74,Chr_2,124615
CC1G_08300,7,2.09,0.78,Chr_2,127306
CC1G_13819,8,1.88,0.71,Chr_2,128923
CC1G_08305,9,1.65,0.55,Chr_2,138449
CC1G_08309,9,1.58,0.57,Chr_2,153100
CC1G_08310,8,1.51,0.58,Chr_2,155638
CC1G_08311,8,1.31,0.48,Chr_2,157010
CC1G_08314,8,1.64,0.6,Chr_2,162975
CC1G_13820,7,1.31,0.38,Chr_2,164068
CC1G_13821,7,1.47,0.48,Chr_2,165426
CC1G_13202,7,1.24,0.51,Chr_2,168168
CC1G_13822,8,1.35,0.48,Chr_2,170230
CC1G_13823,2,0.77,0.33,Chr_2,193767
CC1G_10176,3,0.49,0.19,Chr_2,196227
CC1G_10186,4,0.39,0.15,Chr_2,219985
CC1G_10187,5,0.75,0.27,Chr_2,221092
CC1G_10188,4,0.82,0.29,Chr_2,222664
CC1G_10189,4,0.74,0.25,Chr_2,224055
CC1G_10194,6,1.2,0.52,Chr_2,245894
CC1G_13826,5,2.22,0.84,Chr_2,250548
CC1G_13827,6,2.14,0.72,Chr_2,252664
CC1G_10197,8,1.86,0.7,Chr_2,256591
CC1G_10202,8,1.84,0.66,Chr_2,271619
CC1G_10203,9,2.02,0.79,Chr_2,274992
CC1G_10204,8,2.02,0.83,Chr_2,276460
CC1G_10206,9,2.25,0.84,Chr_2,279754
CC1G_10207,9,2.17,0.75,Chr_2,280447
CC1G_13284,11,2.17,0.87,Chr_2,295572
CC1G_13285,12,2.05,0.81,Chr_2,298774
CC1G_10663,10,2.12,0.95,Chr_2,302388
CC1G_10664,10,2.02,0.96,Chr_2,304514
CC1G_10665,8,2.36,1.01,Chr_2,307599
CC1G_10670,8,2.34,1.08,Chr_2,317654
CC1G_10671,8,2.23,1.06,Chr_2,319391
CC1G_10672,7,2.39,1.14,Chr_2,320829
CC1G_10673,7,2.41,1.09,Chr_2,322018
CC1G_10683,1,1.07,0.29,Chr_2,349737
CC1G_10686,3,2.58,1.02,Chr_2,358684
CC1G_13831,5,2.16,0.75,Chr_2,376679
CC1G_10693,6,2.42,0.84,Chr_2,379781
CC1G_10694,5,2.82,0.93,Chr_2,383779
CC1G_10696,6,2.64,0.9,Chr_2,387269
CC1G_10698,8,2.26,0.7,Chr_2,393574
CC1G_10071,7,1.99,0.64,Chr_2,403209
CC1G_10075,5,2.32,0.59,Chr_2,411630
CC1G_13832,4,2.45,0.61,Chr_2,416906
CC1G_10077,4,2.42,0.6,Chr_2,417650
CC1G_10084,2,1.64,0.46,Chr_2,460373
CC1G_10087,2,2.49,0.93,Chr_2,466591
CC1G_10092,2,1.16,0.56,Chr_2,484076
CC1G_10553,2,2.88,0.62,Chr_2,520675
CC1G_10556,4,2.86,0.8,Chr_2,527115
CC1G_10557,5,2.87,0.82,Chr_2,529333
CC1G_10566,7,2.5,0.67,Chr_2,548507
CC1G_13843,7,2.43,0.69,Chr_2,552030
CC1G_13844,6,2.53,0.72,Chr_2,553927
CC1G_10569,6,2.01,0.59,Chr_2,557457
CC1G_10570,6,2.33,0.69,Chr_2,560125
CC1G_10574,9,2.02,0.6,Chr_2,570133
CC1G_10577,7,2.09,0.73,Chr_2,582431
CC1G_10578,5,2,0.76,Chr_2,586522
CC1G_10579,5,1.64,0.62,Chr_2,587743
CC1G_10581,5,1.84,0.59,Chr_2,591477
CC1G_10586,5,1.63,0.63,Chr_2,604945
CC1G_12845,3,2.1,0.79,Chr_2,625938
CC1G_12290,5,1.34,0.58,Chr_2,642402
CC1G_12291,5,1.29,0.62,Chr_2,647067
CC1G_12292,5,2.06,0.54,Chr_2,653108
CC1G_12296,5,2.23,0.56,Chr_2,663964
CC1G_12297,5,2.26,0.6,Chr_2,665945
CC1G_12646,3,0.91,0.39,Chr_2,674461
CC1G_01008,3,1.85,0.91,Chr_2,709456
CC1G_01013,4,1.98,0.95,Chr_2,723708
CC1G_01014,4,1.85,0.83,Chr_2,728201
CC1G_01015,4,1.74,0.78,Chr_2,730328
CC1G_01017,3,1.85,0.91,Chr_2,735619
CC1G_01028,3,2.43,0.96,Chr_2,764371
CC1G_01032,5,2.62,0.9,Chr_2,774049
CC1G_13853,5,2.81,0.87,Chr_2,776271
CC1G_01040,6,2.72,1.02,Chr_2,788907
CC1G_01041,5,2.16,1.03,Chr_2,790465
CC1G_01043,5,2.15,1.09,Chr_2,796756
CC1G_13856,3,1.73,0.97,Chr_2,807256
CC1G_13860,1,1.88,0.74,Chr_2,832744
CC1G_01058,2,2.26,0.6,Chr_2,850985
CC1G_01064,3,1.86,0.97,Chr_2,863336
CC1G_13863,3,1.81,0.77,Chr_2,880662
CC1G_01072,4,1.87,0.95,Chr_2,884149
CC1G_01075,5,1.95,0.99,Chr_2,889863
CC1G_01083,6,2.22,0.96,Chr_2,908579
CC1G_01084,5,2.21,0.95,Chr_2,910525
CC1G_01085,6,2.24,1.05,Chr_2,913139
CC1G_01089,5,2.25,0.92,Chr_2,920686
CC1G_01091,5,2.19,0.94,Chr_2,925692
CC1G_01097,4,2.06,0.76,Chr_2,938024
CC1G_01107,2,2.56,0.8,Chr_2,962859
CC1G_01112,3,2.16,0.85,Chr_2,973425
CC1G_01117,5,2.27,0.78,Chr_2,988433
CC1G_13866,6,2.09,0.85,Chr_2,996560
CC1G_01121,5,2.08,0.81,Chr_2,1004255
CC1G_01124,5,2.11,0.81,Chr_2,1010281
CC1G_01125,5,1.95,0.77,Chr_2,1011980
CC1G_01128,5,2.24,0.74,Chr_2,1017385
CC1G_01139,2,1.87,0.52,Chr_2,1037973
CC1G_01142,1,2.33,0.51,Chr_2,1044699
CC1G_13874,1,3.39,0.47,Chr_2,1104305
CC1G_01170,2,3.1,0.88,Chr_2,1115760
CC1G_01181,1,3.39,0.47,Chr_2,1139102
CC1G_13882,2,2.26,0.9,Chr_2,1164593
CC1G_01197,5,0.83,0.33,Chr_2,1177463
CC1G_01199,6,1.2,0.52,Chr_2,1180963
CC1G_13886,6,1.44,0.6,Chr_2,1198793
CC1G_13887,6,1.44,0.6,Chr_2,1200460
CC1G_13888,6,1.44,0.6,Chr_2,1201370
CC1G_01210,5,0.71,0.28,Chr_2,1205586
CC1G_01219,4,0.65,0.3,Chr_2,1221894
CC1G_01230,2,3.04,0.8,Chr_2,1248375
CC1G_01233,3,3.03,0.72,Chr_2,1255253
CC1G_01236,5,2.16,0.91,Chr_2,1264094
CC1G_01238,4,2.56,0.92,Chr_2,1273459
CC1G_01240,3,3.38,0.8,Chr_2,1280962
CC1G_01242,3,3.5,0.9,Chr_2,1284311
CC1G_04183,1,4.22,1.32,Chr_2,1373378
CC1G_13902,1,2.02,0.86,Chr_2,1386593
CC1G_04250,1,2.76,0.22,Chr_2,1537136
CC1G_04252,1,2.1,0.88,Chr_2,1545915
CC1G_04304,1,2.38,0.53,Chr_2,1673496
CC1G_04305,1,3.71,0.99,Chr_2,1677707
CC1G_11933,1,2.35,0.96,Chr_2,1736719
CC1G_11939,2,1.96,0.57,Chr_2,1751331
CC1G_12964,2,1.6,0.64,Chr_2,1775770
CC1G_13924,1,1.59,0.43,Chr_2,1784032
CC1G_05100,1,2.19,0.85,Chr_2,1848745
CC1G_05107,1,1.48,0.73,Chr_2,1871725
CC1G_13942,1,2.62,0.89,Chr_2,1899639
CC1G_13943,1,1.95,0.9,Chr_2,1900513
CC1G_05137,1,2.98,1.04,Chr_2,1951836
CC1G_13949,2,2.28,0.75,Chr_2,1961819
CC1G_05145,3,2.86,1.13,Chr_2,1981369
CC1G_05151,2,2.41,0.74,Chr_2,1989769
CC1G_13952,2,3.15,1.14,Chr_2,1999299
CC1G_05167,1,3.93,1.2,Chr_2,2031262
CC1G_05176,3,2.11,0.8,Chr_2,2049848
CC1G_05180,2,3.22,1.06,Chr_2,2063162
CC1G_05183,3,2.66,0.96,Chr_2,2069404
CC1G_13955,4,2.48,0.99,Chr_2,2092747
CC1G_13957,3,2.42,0.95,Chr_2,2096537
CC1G_05200,3,2.19,0.94,Chr_2,2106391
CC1G_05201,3,2.55,1.05,Chr_2,2107639
CC1G_11764,1,4.12,0.95,Chr_2,2220245
CC1G_03780,1,3.29,0.95,Chr_2,2234227
CC1G_03796,3,2.22,0.94,Chr_2,2267718
CC1G_03801,3,2.29,0.74,Chr_2,2282715
CC1G_03802,3,2.45,0.83,Chr_2,2285218
CC1G_13962,4,2.11,0.72,Chr_2,2289726
CC1G_03813,2,2.35,0.99,Chr_2,2312263
CC1G_03816,3,2.57,0.82,Chr_2,2318418
CC1G_03823,2,2.27,1.01,Chr_2,2337319
CC1G_03825,2,2.86,1.08,Chr_2,2341179
CC1G_03840,3,2.75,0.99,Chr_2,2373826
CC1G_03841,3,2.49,0.86,Chr_2,2375780
CC1G_03843,3,2.65,0.83,Chr_2,2379279
CC1G_03844,3,2.21,0.71,Chr_2,2381263
CC1G_13969,4,2.47,0.92,Chr_2,2421504
CC1G_03858,4,2.03,0.82,Chr_2,2422481
CC1G_03860,4,1.69,0.75,Chr_2,2425083
CC1G_03863,4,2.19,0.7,Chr_2,2432655
CC1G_03867,5,2.09,0.8,Chr_2,2439579
CC1G_03877,3,3.05,0.69,Chr_2,2464531
CC1G_03884,2,3.47,0.75,Chr_2,2473431
CC1G_03886,2,2.2,0.71,Chr_2,2475543
CC1G_03905,2,2.69,0.73,Chr_2,2530685
CC1G_13972,2,2.35,0.79,Chr_2,2543226
CC1G_03914,4,1.72,0.43,Chr_2,2553765
CC1G_13974,2,2.29,0.62,Chr_2,2569713
CC1G_03922,3,1.72,0.39,Chr_2,2574771
CC1G_11503,4,2.06,0.8,Chr_2,2598626
CC1G_11505,4,1.41,0.56,Chr_2,2604881
CC1G_11507,4,1.39,0.48,Chr_2,2609552
CC1G_11508,4,1.46,0.5,Chr_2,2612832
CC1G_11513,3,2.19,0.95,Chr_2,2624175
CC1G_11527,6,1.74,0.6,Chr_2,2653487
CC1G_11528,6,1.77,0.79,Chr_2,2656008
CC1G_10809,6,1.91,0.79,Chr_2,2658209
CC1G_10810,6,1.93,0.77,Chr_2,2661140
CC1G_10811,6,2,0.84,Chr_2,2663692
CC1G_10812,6,1.89,0.77,Chr_2,2665980
CC1G_10813,6,1.82,0.74,Chr_2,2668787
CC1G_13982,1,0.17,0.1,Chr_2,2701026
CC1G_13984,3,2.66,0.98,Chr_2,2715749
CC1G_10838,4,2.08,0.75,Chr_2,2730374
CC1G_10841,5,1.91,0.85,Chr_2,2737023
CC1G_10846,5,2.88,1.07,Chr_2,2749966
CC1G_09140,7,2.81,0.89,Chr_2,2755318
CC1G_09141,6,2.67,0.85,Chr_2,2759129
CC1G_09145,6,2.19,0.87,Chr_2,2765964
CC1G_09149,6,2.07,0.88,Chr_2,2777584
CC1G_09151,6,2.1,0.77,Chr_2,2780292
CC1G_09152,4,2.12,0.6,Chr_2,2786567
CC1G_09158,4,2.18,0.8,Chr_2,2798740
CC1G_13992,4,1.73,0.39,Chr_2,2816487
CC1G_09169,5,2.06,0.77,Chr_2,2828652
CC1G_09172,6,6.45,0.73,Chr_2,2837981
CC1G_09173,6,6.3,0.7,Chr_2,2839333
CC1G_13994,7,5.64,0.55,Chr_2,2850610
CC1G_09180,8,5.15,0.63,Chr_2,2853337
CC1G_09183,8,1.95,0.72,Chr_2,2859251
CC1G_09187,8,5.25,0.88,Chr_2,2866961
CC1G_09189,8,5.49,0.93,Chr_2,2871236
CC1G_09193,7,5.82,0.85,Chr_2,2876279
CC1G_09194,7,5.77,0.85,Chr_2,2878488
CC1G_09197,6,2,0.89,Chr_2,2888485
CC1G_09198,6,2.07,0.8,Chr_2,2890476
CC1G_06060,5,2.7,0.93,Chr_2,2901703
CC1G_14001,4,2.64,0.56,Chr_2,2918225
CC1G_06067,4,2.34,0.46,Chr_2,2920236
CC1G_06072,4,2.45,0.62,Chr_2,2931264
CC1G_06074,5,2.23,0.55,Chr_2,2938748
CC1G_06077,4,1.61,0.31,Chr_2,2946675
CC1G_06082,4,1.55,0.59,Chr_2,2961633
CC1G_06086,3,1.44,0.74,Chr_2,2971093
CC1G_06087,2,0.81,0.36,Chr_2,2972533
CC1G_06096,2,0.76,0.29,Chr_2,2999418
CC1G_06102,3,1.41,0.36,Chr_2,3015162
CC1G_06104,4,1.52,0.38,Chr_2,3021518
CC1G_06114,5,1.59,0.44,Chr_2,3039408
CC1G_06115,4,1.59,0.43,Chr_2,3042336
CC1G_06119,4,1.8,0.39,Chr_2,3053760
CC1G_06120,4,1.09,0.34,Chr_2,3054781
CC1G_06127,7,1.76,0.57,Chr_2,3078326
CC1G_06128,7,1.77,0.57,Chr_2,3083064
CC1G_14007,8,2.21,0.68,Chr_2,3085435
CC1G_06129,8,1.89,0.47,Chr_2,3086737
CC1G_14010,11,2.33,0.67,Chr_2,3099158
CC1G_06133,11,1.96,0.6,Chr_2,3101532
CC1G_14012,11,2.2,0.67,Chr_2,3105269
CC1G_14013,12,2.3,0.67,Chr_2,3107467
CC1G_06137,11,2.17,0.65,Chr_2,3109991
CC1G_06138,10,2.5,0.7,Chr_2,3113143
CC1G_06140,10,2.48,0.65,Chr_2,3117808
CC1G_06141,10,2.61,0.71,Chr_2,3121227
CC1G_06145,10,2.47,0.73,Chr_2,3128075
CC1G_06148,11,2.8,0.78,Chr_2,3132458
CC1G_06150,10,2.58,0.74,Chr_2,3137389
CC1G_06156,11,2.47,0.74,Chr_2,3150551
CC1G_06157,11,2.42,0.72,Chr_2,3151816
CC1G_06158,10,1.97,0.68,Chr_2,3155084
CC1G_06159,11,2.32,0.75,Chr_2,3157029
CC1G_06160,11,2.47,0.73,Chr_2,3160366
CC1G_12502,10,2.41,0.73,Chr_2,3166270
CC1G_12503,11,2.32,0.73,Chr_2,3168161
CC1G_12504,11,2.48,0.74,Chr_2,3169859
CC1G_12506,11,2.6,0.78,Chr_2,3172863
CC1G_12509,8,2.18,0.65,Chr_2,3181514
CC1G_12510,8,2.17,0.79,Chr_2,3183251
CC1G_12513,8,2.16,0.76,Chr_2,3192850
CC1G_12940,7,2.28,0.65,Chr_2,3206904
CC1G_12942,7,2.1,0.73,Chr_2,3210164
CC1G_14015,8,2.21,0.69,Chr_2,3217101
CC1G_14016,7,2.21,0.68,Chr_2,3218912
CC1G_10382,9,2.1,0.7,Chr_2,3230360
CC1G_10384,9,2.25,0.71,Chr_2,3231729
CC1G_14017,9,2.2,0.57,Chr_2,3234495
CC1G_10386,10,2.04,0.62,Chr_2,3239154
CC1G_10389,8,1.97,0.53,Chr_2,3248147
CC1G_10390,8,2.26,0.58,Chr_2,3249248
CC1G_10394,7,2.21,0.62,Chr_2,3257294
CC1G_10396,7,2.25,0.57,Chr_2,3261093
CC1G_10397,7,2.24,0.6,Chr_2,3262937
CC1G_10405,5,2.01,0.67,Chr_2,3280976
CC1G_10406,5,2.35,0.62,Chr_2,3285161
CC1G_14020,12,2.16,0.68,Chr_2,3304321
CC1G_10416,13,2.01,0.63,Chr_2,3308705
CC1G_10418,12,2.02,0.59,Chr_2,3311744
CC1G_10419,12,1.96,0.58,Chr_2,3313531
CC1G_10420,14,2.08,0.58,Chr_2,3315611
CC1G_10422,15,2.13,0.6,Chr_2,3317894
CC1G_10423,15,2.01,0.55,Chr_2,3318777
CC1G_10424,15,2.02,0.56,Chr_2,3319574
CC1G_14021,15,1.93,0.55,Chr_2,3320573
CC1G_14022,16,2.03,0.57,Chr_2,3322485
CC1G_12857,18,2.1,0.62,Chr_2,3328709
CC1G_12858,19,1.94,0.58,Chr_2,3329873
CC1G_12859,20,1.92,0.59,Chr_2,3332782
CC1G_14024,20,1.56,0.5,Chr_2,3339169
CC1G_12862,21,1.51,0.48,Chr_2,3340322
CC1G_12863,20,1.51,0.46,Chr_2,3341780
CC1G_13110,17,1.37,0.38,Chr_2,3346270
CC1G_13111,16,1.22,0.34,Chr_2,3349461
CC1G_13112,16,1.46,0.4,Chr_2,3352968
CC1G_13113,15,1.4,0.39,Chr_2,3353755
CC1G_14025,15,1.48,0.41,Chr_2,3354620
CC1G_13115,14,1.34,0.36,Chr_2,3357202
CC1G_14026,13,1.47,0.42,Chr_2,3358540
CC1G_14027,13,1.47,0.42,Chr_2,3359288
CC1G_13056,13,1.42,0.4,Chr_2,3362613
CC1G_13059,12,1.4,0.43,Chr_2,3365032
CC1G_14029,10,1.18,0.38,Chr_2,3368598
