model1	model2	ds	dn	dsdn
Ccin:CC1G_13046T0	Ccin:CC1G_02194T0	1.53	0.99	1.55
Ccin:CC1G_03067T0	Ccin:CC1G_02194T0	2.40	1.09	2.20
Ccin:CC1G_02693T0	Ccin:CC1G_02194T0	NA	0.92	NA
Ccin:CC1G_13244T0	Ccin:CC1G_02194T0	0.79	0.79	1.00
Ccin:CC1G_05382T0	Ccin:CC1G_02194T0	1.50	0.79	1.90
Ccin:CC1G_03120T0	Ccin:CC1G_02194T0	2.02	0.85	2.39
Ccin:CC1G_07479T0	Ccin:CC1G_02194T0	1.51	0.77	1.96
Ccin:CC1G_05383T0	Ccin:CC1G_02194T0	1.53	0.79	1.94
Ccin:CC1G_10029T0	Ccin:CC1G_02194T0	1.18	0.79	1.49
Ccin:CC1G_03053T0	Ccin:CC1G_02194T0	1.23	1.00	1.23
Ccin:CC1G_11664T0	Ccin:CC1G_02194T0	1.10	0.74	1.48
Ccin:CC1G_02189T0	Ccin:CC1G_02194T0	2.36	1.01	2.34
Ccin:CC1G_04917T0	Ccin:CC1G_02194T0	1.27	0.82	1.55
Ccin:CC1G_09949T0	Ccin:CC1G_02194T0	1.99	0.87	2.28
Ccin:CC1G_10604T0	Ccin:CC1G_02194T0	1.32	0.83	1.59
Ccin:CC1G_08583T0	Ccin:CC1G_02194T0	2.04	0.88	2.32
Ccin:CC1G_04848T0	Ccin:CC1G_02194T0	1.35	0.79	1.70
Ccin:CC1G_05827T0	Ccin:CC1G_02194T0	1.13	0.75	1.51
Ccin:CC1G_03526T0	Ccin:CC1G_02194T0	0.91	0.86	1.07
Ccin:CC1G_12388T0	Ccin:CC1G_02194T0	1.35	0.65	2.06
Ccin:CC1G_03529T0	Ccin:CC1G_02194T0	1.16	0.82	1.42
Ccin:CC1G_13379T0	Ccin:CC1G_02479T0	NA	0.40	NA
Ccin:CC1G_03525T0	Ccin:CC1G_02194T0	1.16	0.84	1.38
Ccin:CC1G_10625T0	Ccin:CC1G_02479T0	NA	0.28	NA
Ccin:CC1G_07480T0	Ccin:CC1G_02194T0	1.17	0.79	1.48
Ccin:CC1G_04849T0	Ccin:CC1G_02194T0	1.48	0.75	1.97
Ccin:CC1G_14817T0	Ccin:CC1G_02194T0	1.92	0.98	1.97
Ccin:CC1G_07179T0	Ccin:CC1G_02194T0	1.01	0.76	1.32
Ccin:CC1G_09526T0	Ccin:CC1G_02194T0	1.17	0.66	1.78
Ccin:CC1G_01992T0	Ccin:CC1G_02194T0	2.53	0.83	3.05
Ccin:CC1G_08455T0	Ccin:CC1G_02194T0	1.21	0.74	1.63
Ccin:CC1G_15210T0	Ccin:CC1G_02195T0	NA	0.75	NA
Ccin:CC1G_13046T0	Ccin:CC1G_02195T0	1.97	0.99	1.99
Ccin:CC1G_11507T0	Ccin:CC1G_06564T0	NA	1.06	NA
Ccin:CC1G_03067T0	Ccin:CC1G_02195T0	2.46	1.12	2.20
Ccin:CC1G_06563T0	Ccin:CC1G_06564T0	NA	0.24	NA
Ccin:CC1G_02693T0	Ccin:CC1G_02195T0	NA	0.88	NA
Ccin:CC1G_04165T0	Ccin:CC1G_04604T0	3.04	1.25	2.43
Ccin:CC1G_13244T0	Ccin:CC1G_02195T0	2.09	0.81	2.58
Ccin:CC1G_11507T0	Ccin:CC1G_04604T0	2.81	1.25	2.25
Ccin:CC1G_05382T0	Ccin:CC1G_02195T0	1.69	0.77	2.20
Ccin:CC1G_14441T0	Ccin:CC1G_04604T0	NA	0.95	NA
Ccin:CC1G_03120T0	Ccin:CC1G_02195T0	2.99	0.83	3.58
Ccin:CC1G_06563T0	Ccin:CC1G_04604T0	NA	0.78	NA
Ccin:CC1G_07479T0	Ccin:CC1G_02195T0	4.09	0.76	5.36
Ccin:CC1G_06564T0	Ccin:CC1G_04604T0	NA	0.78	NA
Ccin:CC1G_04165T0	Ccin:CC1G_04605T0	3.51	1.27	2.76
Ccin:CC1G_11507T0	Ccin:CC1G_04605T0	NA	1.05	NA
Ccin:CC1G_11664T0	Ccin:CC1G_02195T0	2.08	0.75	2.77
Ccin:CC1G_06563T0	Ccin:CC1G_04605T0	NA	0.79	NA
Ccin:CC1G_02189T0	Ccin:CC1G_02195T0	NA	0.87	NA
Ccin:CC1G_06564T0	Ccin:CC1G_04605T0	2.47	0.85	2.92
Ccin:CC1G_04917T0	Ccin:CC1G_02195T0	NA	0.85	NA
Ccin:CC1G_04604T0	Ccin:CC1G_04605T0	NA	0.42	NA
Ccin:CC1G_09949T0	Ccin:CC1G_02195T0	NA	0.86	NA
Ccin:CC1G_10604T0	Ccin:CC1G_02195T0	NA	0.76	NA
Ccin:CC1G_04165T0	Ccin:CC1G_02464T0	2.24	1.25	1.80
Ccin:CC1G_08583T0	Ccin:CC1G_02195T0	3.09	0.74	4.16
Ccin:CC1G_11507T0	Ccin:CC1G_02464T0	2.31	1.10	2.09
Ccin:CC1G_04848T0	Ccin:CC1G_02195T0	2.18	0.71	3.05
Ccin:CC1G_14441T0	Ccin:CC1G_02464T0	NA	0.91	NA
Ccin:CC1G_05827T0	Ccin:CC1G_02195T0	2.05	0.71	2.89
Ccin:CC1G_06563T0	Ccin:CC1G_02464T0	NA	0.86	NA
Ccin:CC1G_06564T0	Ccin:CC1G_02464T0	3.19	0.83	3.86
Ccin:CC1G_04604T0	Ccin:CC1G_02464T0	NA	0.57	NA
Ccin:CC1G_12388T0	Ccin:CC1G_02195T0	2.14	0.63	3.42
Ccin:CC1G_03529T0	Ccin:CC1G_02195T0	2.30	0.82	2.79
Ccin:CC1G_14441T0	Ccin:CC1G_07957T0	NA	0.87	NA
Ccin:CC1G_06563T0	Ccin:CC1G_07957T0	NA	0.94	NA
Ccin:CC1G_06564T0	Ccin:CC1G_07957T0	2.74	0.88	3.12
Ccin:CC1G_04604T0	Ccin:CC1G_07957T0	NA	0.60	NA
Ccin:CC1G_04605T0	Ccin:CC1G_07957T0	NA	0.56	NA
Ccin:CC1G_01992T0	Ccin:CC1G_02195T0	NA	0.78	NA
Ccin:CC1G_02464T0	Ccin:CC1G_07957T0	4.11	0.47	8.71
Ccin:CC1G_08455T0	Ccin:CC1G_02195T0	1.89	0.66	2.88
Ccin:CC1G_04165T0	Ccin:CC1G_08284T0	NA	1.26	NA
Ccin:CC1G_11507T0	Ccin:CC1G_08284T0	NA	1.17	NA
Ccin:CC1G_02194T0	Ccin:CC1G_02195T0	1.56	0.35	4.47
Ccin:CC1G_14441T0	Ccin:CC1G_08284T0	NA	0.82	NA
Ccin:CC1G_15210T0	Ccin:CC1G_07624T0	2.22	0.72	3.06
Ccin:CC1G_13046T0	Ccin:CC1G_07624T0	4.00	0.99	4.03
Ccin:CC1G_03067T0	Ccin:CC1G_07624T0	1.81	1.19	1.52
Ccin:CC1G_02693T0	Ccin:CC1G_07624T0	NA	0.87	NA
Ccin:CC1G_13244T0	Ccin:CC1G_07624T0	2.08	0.86	2.43
Ccin:CC1G_05382T0	Ccin:CC1G_07624T0	1.93	0.78	2.48
Ccin:CC1G_03120T0	Ccin:CC1G_07624T0	NA	0.90	NA
Ccin:CC1G_07479T0	Ccin:CC1G_07624T0	NA	0.83	NA
Ccin:CC1G_05383T0	Ccin:CC1G_07624T0	NA	0.81	NA
Ccin:CC1G_10029T0	Ccin:CC1G_07624T0	2.74	0.80	3.41
Ccin:CC1G_03053T0	Ccin:CC1G_07624T0	2.26	1.03	2.20
Ccin:CC1G_11664T0	Ccin:CC1G_07624T0	2.38	0.84	2.84
Ccin:CC1G_02189T0	Ccin:CC1G_07624T0	2.25	1.00	2.25
Ccin:CC1G_04917T0	Ccin:CC1G_07624T0	2.10	0.96	2.18
Ccin:CC1G_09949T0	Ccin:CC1G_07624T0	NA	0.93	NA
Ccin:CC1G_10604T0	Ccin:CC1G_07624T0	NA	0.80	NA
Ccin:CC1G_08583T0	Ccin:CC1G_07624T0	NA	0.85	NA
Ccin:CC1G_04848T0	Ccin:CC1G_07624T0	3.54	0.83	4.25
Ccin:CC1G_05827T0	Ccin:CC1G_07624T0	2.65	0.76	3.50
Ccin:CC1G_03526T0	Ccin:CC1G_07624T0	2.52	0.89	2.85
Ccin:CC1G_12388T0	Ccin:CC1G_07624T0	1.87	0.73	2.58
Ccin:CC1G_03529T0	Ccin:CC1G_07624T0	NA	0.91	NA
Ccin:CC1G_03525T0	Ccin:CC1G_07624T0	4.35	0.86	5.07
Ccin:CC1G_07480T0	Ccin:CC1G_07624T0	NA	0.75	NA
Ccin:CC1G_04849T0	Ccin:CC1G_07624T0	NA	0.85	NA
Ccin:CC1G_14817T0	Ccin:CC1G_07624T0	NA	0.79	NA
Ccin:CC1G_07179T0	Ccin:CC1G_07624T0	1.83	0.81	2.26
Ccin:CC1G_09526T0	Ccin:CC1G_07624T0	3.36	0.76	4.42
Ccin:CC1G_01992T0	Ccin:CC1G_07624T0	NA	0.86	NA
Ccin:CC1G_08455T0	Ccin:CC1G_07624T0	2.79	0.89	3.16
Ccin:CC1G_02194T0	Ccin:CC1G_07624T0	2.33	0.42	5.54
Ccin:CC1G_02195T0	Ccin:CC1G_07624T0	2.19	0.38	5.77
Ccin:CC1G_15210T0	Ccin:CC1G_07634T0	NA	0.56	NA
Ccin:CC1G_13046T0	Ccin:CC1G_07634T0	2.02	0.94	2.15
Ccin:CC1G_03067T0	Ccin:CC1G_07634T0	3.39	0.98	3.47
Ccin:CC1G_02693T0	Ccin:CC1G_07634T0	NA	0.90	NA
Ccin:CC1G_13244T0	Ccin:CC1G_07634T0	1.57	0.85	1.85
Ccin:CC1G_05382T0	Ccin:CC1G_07634T0	NA	0.74	NA
Ccin:CC1G_03120T0	Ccin:CC1G_07634T0	NA	0.93	NA
Ccin:CC1G_07479T0	Ccin:CC1G_07634T0	NA	0.83	NA
Ccin:CC1G_05383T0	Ccin:CC1G_07634T0	2.97	0.79	3.75
Ccin:CC1G_10029T0	Ccin:CC1G_07634T0	2.88	0.78	3.71
Ccin:CC1G_03053T0	Ccin:CC1G_07634T0	2.94	0.93	3.16
Ccin:CC1G_11664T0	Ccin:CC1G_07634T0	2.06	0.90	2.27
Ccin:CC1G_02189T0	Ccin:CC1G_07634T0	NA	0.97	NA
Ccin:CC1G_04917T0	Ccin:CC1G_07634T0	NA	0.85	NA
Ccin:CC1G_09949T0	Ccin:CC1G_07634T0	NA	0.91	NA
Ccin:CC1G_10604T0	Ccin:CC1G_07634T0	NA	0.83	NA
Ccin:CC1G_08583T0	Ccin:CC1G_07634T0	NA	0.85	NA
Ccin:CC1G_04848T0	Ccin:CC1G_07634T0	NA	0.85	NA
Ccin:CC1G_05827T0	Ccin:CC1G_07634T0	NA	0.81	NA
Ccin:CC1G_03526T0	Ccin:CC1G_07634T0	2.46	0.92	2.68
Ccin:CC1G_12388T0	Ccin:CC1G_07634T0	3.01	0.78	3.87
Ccin:CC1G_03529T0	Ccin:CC1G_07634T0	NA	0.91	NA
Ccin:CC1G_03525T0	Ccin:CC1G_07634T0	NA	0.86	NA
Ccin:CC1G_07480T0	Ccin:CC1G_07634T0	NA	0.88	NA
Ccin:CC1G_04849T0	Ccin:CC1G_07634T0	3.64	0.85	4.26
Ccin:CC1G_14817T0	Ccin:CC1G_07634T0	NA	1.09	NA
Ccin:CC1G_09526T0	Ccin:CC1G_07634T0	2.23	0.78	2.85
Ccin:CC1G_01992T0	Ccin:CC1G_07634T0	NA	0.81	NA
Ccin:CC1G_09677T0	Ccin:CC1G_09678T0	NA	0.99	NA
Ccin:CC1G_08455T0	Ccin:CC1G_07634T0	1.59	0.81	1.95
Ccin:CC1G_09676T0	Ccin:CC1G_09678T0	2.09	0.99	2.12
Ccin:CC1G_02194T0	Ccin:CC1G_07634T0	3.08	0.38	8.10
Ccin:CC1G_14121T0	Ccin:CC1G_09678T0	2.02	1.58	1.28
Ccin:CC1G_02195T0	Ccin:CC1G_07634T0	NA	0.35	NA
Ccin:CC1G_04818T0	Ccin:CC1G_09678T0	2.42	1.01	2.39
Ccin:CC1G_07624T0	Ccin:CC1G_07634T0	NA	0.29	NA
Ccin:CC1G_09677T0	Ccin:CC1G_01240T0	2.10	1.30	1.61
Ccin:CC1G_15210T0	Ccin:CC1G_13965T0	NA	0.78	NA
Ccin:CC1G_09676T0	Ccin:CC1G_01240T0	NA	1.33	NA
Ccin:CC1G_13046T0	Ccin:CC1G_13965T0	NA	1.06	NA
Ccin:CC1G_14121T0	Ccin:CC1G_01240T0	NA	1.36	NA
Ccin:CC1G_04818T0	Ccin:CC1G_01240T0	2.06	1.07	1.92
Ccin:CC1G_03120T0	Ccin:CC1G_13965T0	2.15	0.88	2.43
Ccin:CC1G_07479T0	Ccin:CC1G_13965T0	2.71	0.88	3.07
Ccin:CC1G_05383T0	Ccin:CC1G_13965T0	NA	1.01	NA
Ccin:CC1G_10029T0	Ccin:CC1G_13965T0	NA	1.08	NA
Ccin:CC1G_03053T0	Ccin:CC1G_13965T0	NA	0.87	NA
Ccin:CC1G_11664T0	Ccin:CC1G_13965T0	1.72	0.99	1.74
Ccin:CC1G_02189T0	Ccin:CC1G_13965T0	2.84	0.95	2.98
Ccin:CC1G_04917T0	Ccin:CC1G_13965T0	3.10	0.97	3.20
Ccin:CC1G_09949T0	Ccin:CC1G_13965T0	3.14	0.92	3.39
Ccin:CC1G_10604T0	Ccin:CC1G_13965T0	NA	1.03	NA
Ccin:CC1G_08583T0	Ccin:CC1G_13965T0	NA	0.94	NA
Ccin:CC1G_04848T0	Ccin:CC1G_13965T0	2.41	1.00	2.40
Ccin:CC1G_05827T0	Ccin:CC1G_13965T0	NA	0.85	NA
Ccin:CC1G_09677T0	Ccin:CC1G_04150T0	NA	1.61	NA
Ccin:CC1G_03526T0	Ccin:CC1G_13965T0	2.58	1.07	2.42
Ccin:CC1G_09676T0	Ccin:CC1G_04150T0	1.61	0.80	2.01
Ccin:CC1G_12388T0	Ccin:CC1G_13965T0	NA	0.86	NA
Ccin:CC1G_14121T0	Ccin:CC1G_04150T0	2.45	1.48	1.65
Ccin:CC1G_03525T0	Ccin:CC1G_13965T0	NA	0.93	NA
Ccin:CC1G_04818T0	Ccin:CC1G_04150T0	2.20	1.33	1.66
Ccin:CC1G_07480T0	Ccin:CC1G_13965T0	2.30	0.88	2.61
Ccin:CC1G_09678T0	Ccin:CC1G_04150T0	1.58	1.47	1.07
Ccin:CC1G_04849T0	Ccin:CC1G_13965T0	NA	0.97	NA
Ccin:CC1G_01240T0	Ccin:CC1G_04150T0	NA	1.61	NA
Ccin:CC1G_14817T0	Ccin:CC1G_13965T0	NA	0.84	NA
Ccin:CC1G_07179T0	Ccin:CC1G_13965T0	1.87	0.81	2.31
Ccin:CC1G_00981T0	Ccin:CC1G_08987T0	NA	0.84	NA
Ccin:CC1G_00980T0	Ccin:CC1G_08987T0	NA	1.18	NA
Ccin:CC1G_01003T0	Ccin:CC1G_08987T0	2.69	0.99	2.70
Ccin:CC1G_09016T0	Ccin:CC1G_03968T0	NA	1.30	NA
Ccin:CC1G_09016T0	Ccin:CC1G_03955T0	2.91	1.53	1.90
Ccin:CC1G_09016T0	Ccin:CC1G_11608T0	NA	1.20	NA
Ccin:CC1G_04449T0	Ccin:CC1G_09679T0	NA	0.41	NA
Ccin:CC1G_04150T0	Ccin:CC1G_09679T0	2.85	1.09	2.62
Ccin:CC1G_07557T0	Ccin:CC1G_09679T0	NA	0.92	NA
Ccin:CC1G_13247T0	Ccin:CC1G_09083T0	1.08	0.84	1.29
Ccin:CC1G_04816T0	Ccin:CC1G_09679T0	NA	0.55	NA
Ccin:CC1G_09632T0	Ccin:CC1G_09083T0	NA	1.31	NA
Ccin:CC1G_12277T0	Ccin:CC1G_09083T0	NA	1.32	NA
Ccin:CC1G_04090T0	Ccin:CC1G_09679T0	NA	0.74	NA
Ccin:CC1G_01083T0	Ccin:CC1G_09083T0	2.38	1.39	1.71
Ccin:CC1G_09677T0	Ccin:CC1G_14707T0	5.00	0.94	5.32
Ccin:CC1G_02802T0	Ccin:CC1G_09083T0	3.43	1.33	2.58
Ccin:CC1G_09676T0	Ccin:CC1G_14707T0	NA	0.80	NA
Ccin:CC1G_07495T0	Ccin:CC1G_09083T0	4.08	1.12	3.65
Ccin:CC1G_14121T0	Ccin:CC1G_14707T0	NA	0.81	NA
Ccin:CC1G_05546T0	Ccin:CC1G_09083T0	NA	0.84	NA
Ccin:CC1G_15754T0	Ccin:CC1G_09083T0	2.75	1.11	2.47
Ccin:CC1G_09678T0	Ccin:CC1G_14707T0	2.62	1.00	2.63
Ccin:CC1G_04801T0	Ccin:CC1G_09083T0	NA	1.33	NA
Ccin:CC1G_01240T0	Ccin:CC1G_14707T0	3.85	1.18	3.28
Ccin:CC1G_05849T0	Ccin:CC1G_09083T0	2.05	1.22	1.68
Ccin:CC1G_13510T0	Ccin:CC1G_14707T0	NA	1.08	NA
Ccin:CC1G_13247T0	Ccin:CC1G_09079T0	1.66	0.89	1.86
Ccin:CC1G_04449T0	Ccin:CC1G_14707T0	NA	0.40	NA
Ccin:CC1G_09632T0	Ccin:CC1G_09079T0	2.34	1.54	1.52
Ccin:CC1G_12277T0	Ccin:CC1G_09079T0	NA	1.48	NA
Ccin:CC1G_01083T0	Ccin:CC1G_09079T0	NA	1.48	NA
Ccin:CC1G_02802T0	Ccin:CC1G_09079T0	NA	1.40	NA
Ccin:CC1G_07495T0	Ccin:CC1G_09079T0	2.06	0.90	2.30
Ccin:CC1G_05546T0	Ccin:CC1G_09079T0	2.11	0.94	2.25
Ccin:CC1G_15754T0	Ccin:CC1G_09079T0	NA	1.09	NA
Ccin:CC1G_04801T0	Ccin:CC1G_09079T0	2.19	1.28	1.70
Ccin:CC1G_05849T0	Ccin:CC1G_09079T0	1.59	1.29	1.23
Ccin:CC1G_09083T0	Ccin:CC1G_09079T0	1.06	0.36	2.91
Ccin:CC1G_13247T0	Ccin:CC1G_05977T0	2.64	0.79	3.36
Ccin:CC1G_09632T0	Ccin:CC1G_05977T0	NA	1.56	NA
Ccin:CC1G_12277T0	Ccin:CC1G_05977T0	3.11	1.46	2.13
Ccin:CC1G_13510T0	Ccin:CC1G_01242T0	2.28	1.14	2.01
Ccin:CC1G_01083T0	Ccin:CC1G_05977T0	NA	1.19	NA
Ccin:CC1G_04449T0	Ccin:CC1G_01242T0	NA	0.43	NA
Ccin:CC1G_02802T0	Ccin:CC1G_05977T0	4.38	1.31	3.34
Ccin:CC1G_04150T0	Ccin:CC1G_01242T0	NA	1.04	NA
Ccin:CC1G_07495T0	Ccin:CC1G_05977T0	1.46	0.92	1.60
Ccin:CC1G_07557T0	Ccin:CC1G_01242T0	NA	0.84	NA
Ccin:CC1G_05546T0	Ccin:CC1G_05977T0	NA	1.08	NA
Ccin:CC1G_04816T0	Ccin:CC1G_01242T0	NA	0.46	NA
Ccin:CC1G_15754T0	Ccin:CC1G_05977T0	2.67	1.05	2.55
Ccin:CC1G_09780T0	Ccin:CC1G_01242T0	NA	0.87	NA
Ccin:CC1G_04801T0	Ccin:CC1G_05977T0	NA	1.33	NA
Ccin:CC1G_04090T0	Ccin:CC1G_01242T0	NA	0.77	NA
Ccin:CC1G_05849T0	Ccin:CC1G_05977T0	2.48	1.37	1.81
Ccin:CC1G_09679T0	Ccin:CC1G_01242T0	NA	0.48	NA
Ccin:CC1G_09083T0	Ccin:CC1G_05977T0	3.03	1.29	2.35
Ccin:CC1G_14707T0	Ccin:CC1G_01242T0	NA	0.18	NA
Ccin:CC1G_09079T0	Ccin:CC1G_05977T0	4.42	1.14	3.87
Ccin:CC1G_09677T0	Ccin:CC1G_06026T0	NA	1.77	NA
Ccin:CC1G_13247T0	Ccin:CC1G_13249T0	0.48	0.32	1.49
Ccin:CC1G_09676T0	Ccin:CC1G_06026T0	NA	1.07	NA
Ccin:CC1G_09632T0	Ccin:CC1G_13249T0	2.83	1.23	2.31
Ccin:CC1G_14121T0	Ccin:CC1G_06026T0	NA	1.37	NA
Ccin:CC1G_12277T0	Ccin:CC1G_13249T0	2.17	1.70	1.28
Ccin:CC1G_04818T0	Ccin:CC1G_06026T0	NA	1.68	NA
Ccin:CC1G_01083T0	Ccin:CC1G_13249T0	NA	1.18	NA
Ccin:CC1G_02802T0	Ccin:CC1G_13249T0	NA	1.18	NA
Ccin:CC1G_09678T0	Ccin:CC1G_06026T0	2.85	1.64	1.73
Ccin:CC1G_07495T0	Ccin:CC1G_13249T0	NA	0.99	NA
Ccin:CC1G_05546T0	Ccin:CC1G_13249T0	2.72	1.00	2.72
Ccin:CC1G_15754T0	Ccin:CC1G_13249T0	NA	1.21	NA
Ccin:CC1G_04449T0	Ccin:CC1G_06026T0	NA	1.04	NA
Ccin:CC1G_04801T0	Ccin:CC1G_13249T0	2.58	1.26	2.04
Ccin:CC1G_04150T0	Ccin:CC1G_06026T0	NA	0.89	NA
Ccin:CC1G_05849T0	Ccin:CC1G_13249T0	1.70	1.11	1.53
Ccin:CC1G_09083T0	Ccin:CC1G_13249T0	NA	1.01	NA
Ccin:CC1G_04816T0	Ccin:CC1G_06026T0	NA	1.01	NA
Ccin:CC1G_09079T0	Ccin:CC1G_13249T0	NA	1.04	NA
Ccin:CC1G_09780T0	Ccin:CC1G_06026T0	NA	0.99	NA
Ccin:CC1G_05977T0	Ccin:CC1G_13249T0	NA	1.21	NA
Ccin:CC1G_04090T0	Ccin:CC1G_06026T0	NA	0.97	NA
Ccin:CC1G_13247T0	Ccin:CC1G_09091T0	1.46	0.96	1.52
Ccin:CC1G_09679T0	Ccin:CC1G_06026T0	NA	1.02	NA
Ccin:CC1G_09632T0	Ccin:CC1G_09091T0	1.75	1.29	1.36
Ccin:CC1G_14707T0	Ccin:CC1G_06026T0	NA	1.00	NA
Ccin:CC1G_12277T0	Ccin:CC1G_09091T0	3.67	1.39	2.63
Ccin:CC1G_01242T0	Ccin:CC1G_06026T0	1.91	0.90	2.11
Ccin:CC1G_01083T0	Ccin:CC1G_09091T0	2.79	1.39	2.01
Ccin:CC1G_09677T0	Ccin:CC1G_10143T0	NA	1.58	NA
Ccin:CC1G_02802T0	Ccin:CC1G_09091T0	NA	1.19	NA
Ccin:CC1G_09676T0	Ccin:CC1G_10143T0	NA	0.93	NA
Ccin:CC1G_07495T0	Ccin:CC1G_09091T0	NA	1.15	NA
Ccin:CC1G_14121T0	Ccin:CC1G_10143T0	NA	1.54	NA
Ccin:CC1G_05546T0	Ccin:CC1G_09091T0	2.65	0.90	2.94
Ccin:CC1G_04818T0	Ccin:CC1G_10143T0	NA	1.50	NA
Ccin:CC1G_15754T0	Ccin:CC1G_09091T0	3.89	1.02	3.83
Ccin:CC1G_09678T0	Ccin:CC1G_10143T0	2.32	1.57	1.48
Ccin:CC1G_04801T0	Ccin:CC1G_09091T0	2.98	1.22	2.45
Ccin:CC1G_01240T0	Ccin:CC1G_10143T0	NA	1.55	NA
Ccin:CC1G_05849T0	Ccin:CC1G_09091T0	2.00	1.18	1.69
Ccin:CC1G_13510T0	Ccin:CC1G_10143T0	NA	1.11	NA
Ccin:CC1G_09083T0	Ccin:CC1G_09091T0	1.71	0.56	3.08
Ccin:CC1G_04449T0	Ccin:CC1G_10143T0	3.37	1.07	3.16
Ccin:CC1G_09079T0	Ccin:CC1G_09091T0	2.09	0.46	4.54
Ccin:CC1G_04150T0	Ccin:CC1G_10143T0	NA	0.91	NA
Ccin:CC1G_05977T0	Ccin:CC1G_09091T0	NA	1.12	NA
Ccin:CC1G_07557T0	Ccin:CC1G_10143T0	NA	0.18	NA
Ccin:CC1G_13249T0	Ccin:CC1G_09091T0	NA	1.01	NA
Ccin:CC1G_04816T0	Ccin:CC1G_10143T0	NA	1.00	NA
Ccin:CC1G_13247T0	Ccin:CC1G_09086T0	NA	1.06	NA
Ccin:CC1G_09780T0	Ccin:CC1G_10143T0	NA	0.97	NA
Ccin:CC1G_09632T0	Ccin:CC1G_09086T0	2.33	1.26	1.84
Ccin:CC1G_04090T0	Ccin:CC1G_10143T0	NA	1.02	NA
Ccin:CC1G_12277T0	Ccin:CC1G_09086T0	NA	1.37	NA
Ccin:CC1G_09679T0	Ccin:CC1G_10143T0	NA	1.05	NA
Ccin:CC1G_01083T0	Ccin:CC1G_09086T0	4.00	1.46	2.75
Ccin:CC1G_14707T0	Ccin:CC1G_10143T0	NA	0.96	NA
Ccin:CC1G_02802T0	Ccin:CC1G_09086T0	NA	1.59	NA
Ccin:CC1G_01242T0	Ccin:CC1G_10143T0	NA	0.96	NA
Ccin:CC1G_05546T0	Ccin:CC1G_09086T0	2.98	0.94	3.19
Ccin:CC1G_06026T0	Ccin:CC1G_10143T0	NA	0.24	NA
Ccin:CC1G_15754T0	Ccin:CC1G_09086T0	NA	1.04	NA
Ccin:CC1G_09677T0	Ccin:CC1G_07773T0	NA	1.17	NA
Ccin:CC1G_04801T0	Ccin:CC1G_09086T0	NA	1.50	NA
Ccin:CC1G_09676T0	Ccin:CC1G_07773T0	3.42	0.86	3.99
Ccin:CC1G_14121T0	Ccin:CC1G_07773T0	2.01	1.26	1.59
Ccin:CC1G_04818T0	Ccin:CC1G_07773T0	1.87	1.49	1.25
Ccin:CC1G_09678T0	Ccin:CC1G_07773T0	2.63	1.39	1.89
Ccin:CC1G_01240T0	Ccin:CC1G_07773T0	NA	1.51	NA
Ccin:CC1G_13249T0	Ccin:CC1G_09086T0	NA	0.95	NA
Ccin:CC1G_13510T0	Ccin:CC1G_07773T0	NA	1.02	NA
Ccin:CC1G_09091T0	Ccin:CC1G_09086T0	0.17	0.06	2.89
Ccin:CC1G_04449T0	Ccin:CC1G_07773T0	NA	0.89	NA
Ccin:CC1G_04150T0	Ccin:CC1G_07773T0	2.75	0.97	2.85
Ccin:CC1G_13247T0	Ccin:CC1G_01075T0	2.70	1.06	2.55
Ccin:CC1G_09632T0	Ccin:CC1G_01075T0	2.42	1.58	1.54
Ccin:CC1G_04816T0	Ccin:CC1G_07773T0	4.51	0.85	5.30
Ccin:CC1G_09780T0	Ccin:CC1G_07773T0	NA	0.90	NA
Ccin:CC1G_04090T0	Ccin:CC1G_07773T0	NA	0.82	NA
Ccin:CC1G_09679T0	Ccin:CC1G_07773T0	NA	0.89	NA
Ccin:CC1G_06026T0	Ccin:CC1G_07773T0	NA	0.69	NA
Ccin:CC1G_04801T0	Ccin:CC1G_01075T0	NA	1.42	NA
Ccin:CC1G_10143T0	Ccin:CC1G_07773T0	NA	0.76	NA
Ccin:CC1G_05849T0	Ccin:CC1G_01075T0	2.62	1.59	1.65
Ccin:CC1G_09677T0	Ccin:CC1G_11347T0	NA	1.61	NA
Ccin:CC1G_09083T0	Ccin:CC1G_01075T0	NA	1.29	NA
Ccin:CC1G_09676T0	Ccin:CC1G_11347T0	NA	0.92	NA
Ccin:CC1G_09079T0	Ccin:CC1G_01075T0	NA	1.31	NA
Ccin:CC1G_14121T0	Ccin:CC1G_11347T0	NA	1.40	NA
Ccin:CC1G_05977T0	Ccin:CC1G_01075T0	2.15	1.25	1.72
Ccin:CC1G_04818T0	Ccin:CC1G_11347T0	NA	1.40	NA
Ccin:CC1G_13249T0	Ccin:CC1G_01075T0	2.55	1.28	1.99
Ccin:CC1G_09678T0	Ccin:CC1G_11347T0	2.64	1.49	1.77
Ccin:CC1G_09091T0	Ccin:CC1G_01075T0	NA	1.26	NA
Ccin:CC1G_09086T0	Ccin:CC1G_01075T0	NA	1.36	NA
Ccin:CC1G_09632T0	Ccin:CC1G_03331T0	NA	1.41	NA
Ccin:CC1G_12277T0	Ccin:CC1G_03331T0	2.73	1.53	1.78
Ccin:CC1G_01083T0	Ccin:CC1G_03331T0	1.91	1.33	1.44
Ccin:CC1G_02802T0	Ccin:CC1G_03331T0	2.30	1.18	1.94
Ccin:CC1G_07495T0	Ccin:CC1G_03331T0	4.52	0.99	4.58
